id,name,status,score,display_name,formatted_address,city,region,lat,lng,place_id,types,error,generated_update
0bb81add-f212-4fa1-a84c-03ac54cb7b4e,Gura Dhamole Desert Night Sky Encampment,candidate,0.3,Gura dhamole,"JFRG+W6, Haro Dibe",Haro Dibe,Oromia,6.6423499999999995,40.4755469,ChIJWzfubQClyRcRdxS17Vt5pb0,general_store|food_store|store|food|point_of_interest|establishment,,False
0beb83f4-243e-4161-8657-8f7ce8b4d268,Babile Elephant Sanctuary Bush Trekking,candidate,0.54,Babile Elephant Sanctuary,6HX43795+XXXX,,,9.07,42.26,ChIJi40LKGyLLRYRkVi8y618HLA,zoo|point_of_interest|establishment,,False
0bfc7ee8-ddd1-4b35-baa9-543a2a227862,Loleha High-End Eco-Lodge,candidate,0.36,Eco Omo Lodge,"QHP4+3HW, Jinka",Jinka,"Southern Nations, Nationalities and Peoples",5.7852355,36.556452,ChIJkVW4vnqppRcRM1jEKCOgUD8,lodging|point_of_interest|establishment,,False
0c0a0214-76e4-480e-8291-7d97965501da,Tekeze Dam Lake Boating & Fishing Dock,candidate,0.15,Tekeze River,Tekeze River,,,14.2668459,36.2395345,ChIJp5VY2OvCZhYRJm6PBLGBeT4,river|natural_feature|establishment,,False
0cc86c22-d3a7-48d9-ac1a-1478f842b8ff,Dirre Sheikh Hussein Pilgrims Village,candidate,0.45,Shrine Of Sheikh Hussein,"PPW4+HQ3, Sheki Husen",Sheki Husen,Oromia,7.7463772,40.706935699999995,ChIJlZ65iqgeyxcRFOVl2u6waTA,mosque|place_of_worship|association_or_organization|point_of_interest|establishment,,False
0d1058d2-0ac5-4f62-904a-86b77a783a9f,Ethnological Museum,candidate,0.9,Ethnological Museum,"Algeria St, Addis amama",Gulele,Addis Ababa,9.0469448,38.7577717,ChIJyZPBOEePSxYRtNM8j7ynJCQ,tourist_attraction|museum|point_of_interest|establishment,,True
0d291d6c-0210-408b-87a8-fbc919f72dc5,Dembi Waterfall & Forest Sanctuary,candidate,0.225,The Donkey Sanctuary Ethiopia,"Airport Road, Addis Ababa",Bole,Addis Ababa,8.9917178,38.7827564,ChIJ4RSIt_6ESxYRXWO3nIb47-Q,association_or_organization|service|point_of_interest|establishment,,False
0db2f2ba-292b-4bfd-a534-f3bbcf855467,Tekeze River Canyon Trekking,candidate,0.45,Tekeze River,Tekeze River,,,14.2668459,36.2395345,ChIJp5VY2OvCZhYRJm6PBLGBeT4,river|natural_feature|establishment,,False
0deb4635-ec6e-41d1-95cf-f0b0d2389259,Haile Resort Hawassa Convention Center,candidate,0.6,Haile Resort - Hawassa,"A8, Awasa",Awasa,Sidama,7.0795884,38.479093899999995,ChIJPQo1oqlasRcR8aP7FamTFVI,resort_hotel|hotel|lodging|point_of_interest|establishment,,True
0e43bad9-7f39-4795-be9d-01fd987acf85,Awash National Park Arid Ecosystem Research Outpost,candidate,0.36,Awash National Park,"32M2+82J, Didiga",Didiga,,9.0833333,40.0,ChIJ8RzFVmN1ShYR-FJVWSXem64,park|tourist_attraction|point_of_interest|establishment,,False
0e4d4519-15ac-4164-95ff-67610eea618a,Bishoftu Pyramids Resort Meeting Facilities,candidate,0.273,Pyramid Hotels and Resorts,"A1, Bishoftu",Bishoftu,Oromia,8.7465809,38.9841207,ChIJt5gtdM1ySxYRYc7TgpGCnn0,resort_hotel|hotel|lodging|point_of_interest|establishment,,False
0e95b8df-daa1-4410-a730-189befba6f99,Arba Minch Crocodile Ranch Trail Running Loop,candidate,0.6,Arba Minch crocodile ranch,"2HHR+VP4, Arba Minch",Arba Minch,"Southern Nations, Nationalities and Peoples",6.029646199999999,37.5918419,ChIJAUA3jbujuhcR1jDnQO2FmVQ,tourist_attraction|point_of_interest|establishment,,True
0f2b4014-1411-4d39-9d1f-ab7c9840a894,Gojjam Teff Farming Cooperatives,candidate,0.0,Sidama Coffee Farmers Cooperative Union,"WQH6+78Q, Addis Ababa",Akaki Kality,Addis Ababa,8.928212199999999,38.760859499999995,ChIJRefp3nKDSxYRjRiB8jEMM5M,wholesaler|food|point_of_interest|establishment,,False
0f7c84bd-4645-4e2b-b0c8-c603b9a940b1,Entoto Mountain Zipline & Rope Course,candidate,0.18,Kuriftu Adventure Park Zipline,"3PHW+M3H, Addis Ababa",Gulele,Addis Ababa,9.078457799999999,38.744583299999995,ChIJx03Spm6PSxYRjGQ3Zcb8nck,adventure_sports_center|sports_complex|sports_activity_location|point_of_interest|establishment,,False
0fa2359e-59e0-4cb3-867c-b289e8e9a009,Silte Mixed Agro-Farms,candidate,0.0,Ethiopian Seed Enterprise,"Addis Ababa, Ethiopia",Yeka,Addis Ababa,9.0320428,38.8130443,ChIJixthmYaPSxYRgdsFai2xAe0,service|point_of_interest|establishment,,False
10428c4d-037c-4235-a04c-81eeedfcbb52,Jinka South Omo Health & Education Volunteer Base,candidate,0.469,South Omo Zone Health Department,"QHJC+7M3, Jinka",Jinka,"Southern Nations, Nationalities and Peoples",5.780638,36.5716722,ChIJA8KupiyppRcRELzp7tecrIE,government_office|point_of_interest|establishment,,False
1083c39b-85cc-457d-9a68-518fe138f7be,Addis Ababa Italian Occupation Fortifications,candidate,0.328,Yekatit 12 Monument ( የካቲት 12 መታሰብያ ሐውልት ),"2QV6+GFP, Addis Ababa",Gulele,Addis Ababa,9.043825199999999,38.761217099999996,ChIJH3uSkGiPSxYRqRRaUexQHC4,monument|tourist_attraction|point_of_interest|establishment,,False
10995a8c-f549-4261-9251-3c7e872b92b8,Argobba Heritage Villages,candidate,0.3,SOS Children's Villages in Ethiopia,"Namibia St, Addis Ababa",Bole,Addis Ababa,9.0012663,38.7829561,ChIJjWGemY6FSxYRcZx-J_k3rwc,non_profit_organization|association_or_organization|point_of_interest|establishment,,False
10c92854-678b-4c37-9275-8d10f798aa6d,Entoto Planetarium Complex,candidate,0.45,Entoto Observatory and Research Center,"oromia, Addis Ababa",Nefassilk Lafto,Addis Ababa,8.980603,38.757760999999995,ChIJ05YaoOWNSxYReCM19j0GoH8,research_institute|point_of_interest|establishment,,False
131993b4-a8b5-41cb-a8d1-5e2610dfd540,Bishoftu Lake Kilole Water Outpost,candidate,0.45,Lake Bishoftu Resort,"Kebele 04, ቢሾፍቱ",ቢሾፍቱ,ኦሮሚያ,8.7423545,38.9762766,ChIJYVxgadRzSxYRO0V9xY-ITY4,resort_hotel|hotel|lodging|point_of_interest|establishment,,False
133d233e-e6d0-4a8e-803a-7a7b8b5bde07,Metu Town Center,candidate,0.45,Metu,Metu,Metu,Oromia,8.2957398,35.5830043,ChIJv9bDvKBsqxcRuVc2dR52xAM,locality|political,,False
13e068c7-3d20-4a4e-b74b-3b403ab237a2,Abuna Yemata Guh Rock Climb,candidate,0.18,Abune Yemata,Megab,Megab,Tigray,13.9152875,39.3452969,ChIJVerKjHV2axYRcg-1IQXGeVM,church|place_of_worship|association_or_organization|point_of_interest|establishment,,False
14dcdb3b-f234-4f0e-9ddb-270c10ebcc13,Assab Road Historical Conflict Sites,no_match,,,,,,,,,,,False
14fcb4c1-abbd-41c3-b00f-cf1decb0777c,Lake Ziway Gelila Island Boat Trail,candidate,0.656,Gelila Camping Island,Ziway Lake,East Shewa,Oromia,7.9265107,38.7552253,ChIJr2O4ImObtBcR5id0HN3EH0Y,hiking_area|sports_activity_location|point_of_interest|establishment,,True
15d4cc48-4db3-4cbb-91c9-c60fa8b4dc57,Lewi Resort & Wellness Spa,candidate,0.3,ሌዊ ሪዞርት / Lewi Resort,Hawassa,Hawassa,Sidama,7.0495179,38.4585013,ChIJXYEeaAlFsRcR7ShAxQkCOVU,resort_hotel|hotel|event_venue|spa|lodging|restaurant|food|point_of_interest|service|establishment,,False
15f2bcde-0809-406f-8919-09b8f795e41a,Menz Mama Midir Wool Farming Hamlets,candidate,0.3,Mama Midir,Mama Midir,Mama Midir,Amhara,10.082794999999999,39.5016809,ChIJC9i5CO5PSBYRdlyfNzMrIxQ,locality|political,,False
16b17298-cf95-44da-b6a5-4c1bce95c425,Imperial Club Sports Facilities,candidate,0.3,Imperial Academy | Winget | ኢምፔሪያል አካዳሚ | ዊንጌት,"2PX6+FG3 Kolfe Keraniyo 13/14, Addis Ababa",Kolfe Keranio,Addis Ababa,9.0486434,38.7113078,ChIJzVYm4COJSxYR4akGFw0Ky7U,school|educational_institution|point_of_interest|establishment,,False
17182a01-db5e-4920-b6bb-5927b96a2ccb,Silte Halawa & Traditional Confectionery Outlets,candidate,0.0,Chilalo Food Complex,"X4RV+3VG, Asela",Asela,Oromia,7.990187499999999,39.1447031,ChIJAQAAAFzotBcRpo1WFAQK34k,manufacturer|food|point_of_interest|establishment,,False
17520cea-bed8-4aa0-b020-30e597001408,Lake Kuriftu Waterpark Boating Marina,candidate,0.18,Kuriftu Water Park,Bishoftu,Bishoftu,Oromia,8.7817245,39.0029434,ChIJd5bQbqANSxYRHB-rfwN5WxQ,water_park|amusement_park|point_of_interest|establishment,,False
1776863c-a67a-47a1-a39b-1ff5f28972a2,Yaya Africa Athletics Village,candidate,0.9,Yaya Africa Athletics Village,"Weserbi Street, Gergis area A3, Sululta",Sululta,ኦሮሚያ,9.103813599999999,38.7109595,ChIJ9yP_kjfzSxYRR8vBIkZE8BI,resort_hotel|hotel|lodging|point_of_interest|establishment,,True
1780d35c-2488-4b5e-b3ae-042a32f6c0b7,Filwoha Thermal Mineral Baths,candidate,0.0,Filwuha Agelglot /SPA Service Enterprise,Addis Ababa,Addis Ababa,Addis Ababa,9.0181504,38.7579196,ChIJJzV5MpWFSxYRRjFawkLdEkM,cafe|sauna|public_bath|massage_spa|massage|spa|hotel|lodging|health|restaurant|food|point_of_interest|service|establishment,,False
17cdd081-8692-4079-ad33-6a5c3db45ad7,Dil Chora Hospital,candidate,0.3,Dilchora Hospital wifi pasword,"HVP5+WJG, Dire Dawa",Kezira,Dire Dawa,9.5877523,41.8594253,ChIJS4kehJUBMRYRe_Un2rpjzB8,consultant|hospital|health|point_of_interest|service|establishment,,False
18d1a00d-e89d-4c2a-81e3-727d2f2c2196,Kafa Biosphere Waterfall & Wild Coffee Forests,candidate,0.3,Kafa Biosphere Reserve,"9394+XHH, Bonga",Bonga,"Southern Nations, Nationalities and Peoples",7.369928100000001,36.0564877,ChIJqQ-W1XG9rhcR5wFvvKsKcUM,nature_preserve|tourist_attraction|park|point_of_interest|establishment,,False
1911def4-e997-465b-a0a3-6d9d84380461,Dima River Canyon Adventure Trail,candidate,0.0,TOUR ETHIOPIA,"woreda 05, Addis Ababa 1000",Lideta,Addis Ababa,9.0063465,38.7315822,ChIJd10qAd-HSxYRWW8sjdT8K30,tour_agency|tourist_attraction|tourist_information_center|transportation_service|travel_agency|service|point_of_interest|establishment,,False
1a1c5e1b-dafa-4c16-b381-623fbaa66752,Beynuna Village Community,candidate,0.0,BEYNOUNA VILLAGE ECO RESORT BY ETHIOPIAN SKYLIGHT,VVV4+V2G,East Shewa,Oromia,8.894689,39.8550927,ChIJqSyTAg17ShYRnkcLqFrHYCQ,hotel|lodging|point_of_interest|establishment,,False
1a5b3dff-4d10-4581-8c58-b2c5f9aec1f4,Mount Kundudo Feral Horse Sanctuary,candidate,0.36,Kundudo feral horses,"992X+G39 Jarso and Gursum, districts",districts,Oromia,9.351289999999999,42.397732,ChIJ31NDrlzbMRYRLsQeCwFmVJQ,park|point_of_interest|establishment,,False
1cf5758b-28cb-430a-b66a-8d238d4d8bb5,Awash Thermal Hot Springs,candidate,0.225,Kuriftu Resort & Spa Awash Falls,"awash park, Awash",Awash,አፋር,8.8430524,40.0122975,ChIJn4dFov6TNRYR7GkTJOTAk8o,resort_hotel|hotel|lodging|point_of_interest|establishment,,False
1d914cd7-3a4f-4b25-ac05-35aae3470100,Menz Highland Sheep Meat Roasting Centers,candidate,0.0,Sami wendimamchoch butchery(ሳሚ ወንድማማቾች),"XQRH+JJ9, Addis Ababa",Bole,Addis Ababa,8.991547599999999,38.779115100000006,ChIJC0oXYgCFSxYRij_LJpZlpW8,butcher_shop|food_store|point_of_interest|food|manufacturer|service|store|establishment,,False
1e396328-3fdf-40f1-b7dd-41362f74ef63,Sodo Town Mount Damota Public Hike,candidate,0.0,Hiking to Damot mountain,"VQFF+CWF, Soddo",Soddo,"Southern Nations, Nationalities and Peoples",6.8735623,37.7747904,ChIJpRwSz0G7sRcR4nwGnZQy8NU,hiking_area|sports_activity_location|point_of_interest|establishment,,False
1e9cbc26-1c66-4df8-a395-3ce61bb60b65,Combolcha Central Park,candidate,0.0,Riverside Park,"2Q68+7P8, Jomo Kenyatta St, Addis Ababa",Kirkos,Addis Ababa,9.0107509,38.7670331,ChIJDTVyFACFSxYRZHpBUL-1zJU,park|point_of_interest|establishment,,False
1ed00cb8-cefc-4d4f-be7b-e45568710d02,Gedeo Sacred Cultural Landscapes,no_match,,,,,,,,,,,False
1ed24426-c2c9-4515-8ff8-f7200e264835,Tekle Haymanot Cave Shrine,candidate,0.0,Abune TekleHaymanot Church,"XPP8+4R9, Addis Ababa",Nefassilk Lafto,Addis Ababa,8.9852932,38.7170977,ChIJm0C44L-GSxYR3slzJzC-BW0,church|place_of_worship|association_or_organization|point_of_interest|establishment,,False
1ee1842e-065b-46cc-972f-8d9d45d54b92,Maze National Park (Swaynes Hartebeest & Lions),candidate,0.36,Maze National park,South Ethiopia Region,West Hararge,Oromia,9.145000000000001,40.489672999999996,ChIJ49McDQDRNRYRE5kYX70BFIU,park|point_of_interest|establishment,,False
