id,name,geocode_status,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
03a350a1-6dbb-4dcb-a64a-20c725d254b9,Gondar City Center & Imperial Precincts,existing,,,,,,,,matched,destination-images/gondar-city-center-imperial-precincts/cover.webp,0.333,gondar,"https://commons.wikimedia.org/wiki/File:A_busy_street_in_Gondar,_Ethiopia.jpg",CC BY 4.0,False
03b49d09-289b-46f3-a0a6-911ce7e8b65c,Chebera Churchura National Park,existing,,,,,,,,matched,destination-images/chebera-churchura-national-park/cover.webp,1.0,Chebera Churchura National Park,https://commons.wikimedia.org/wiki/File:A_photographer_capturing_hippopotamus_in_at_Chebera_Churchura_National_Park.jpg,CC BY-SA 4.0,False
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,existing,,,,,,,,no_match,,,,,,False
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,existing,,,,,,,,matched,destination-images/mizan-teferi-agro-forestry-training-projects/cover.webp,0.667,mizan teferi,https://commons.wikimedia.org/wiki/File:Mizan_Teferi.jpg,CC BY-SA 4.0,False
042b6c47-eb1e-4060-b3ae-61f66693e65e,Debre Libanos Monastery (Shewa),existing,,,,,,,,disabled,,,,,,False
04bb43b1-4136-46a9-923e-e6eb3baaa15d,Debre Libanos Historic Monastery Grounds,existing,,,,,,,,matched,destination-images/debre-libanos-historic-monastery-grounds/cover.webp,1.0,debre libanos,https://commons.wikimedia.org/wiki/File:Debre_Libanos_Monastery_Ethiopia_Oct19_D72_12186.jpg,CC BY-SA 4.0,False
04c8c45f-4738-457f-bf20-218105ff3170,Kambaata Highland Agriculture Terraces,existing,,,,,,,,no_match,,,,,,False
04ea15b4-829e-4e66-9db0-208eb90ce212,Chencha Dorze Public Bamboo Trail,existing,,,,,,,,error,,,,,,False
051f97af-5ce3-4bb0-853a-7c6ae6c5903b,Jan Meda Public Park,existing,,,,,,,,error,,,,,,False
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,existing,,,,,,,,error,,,,,,False
0561e3f5-fc79-4bc0-a204-848d49c202f8,Senkele Hartebeest Sanctuary Conservation Base,existing,,,,,,,,error,,,,,,False
0562a30c-63b6-4c1a-9d52-8cc443b9d1f1,Kuriftu Resort & Spa Lakefront Luxury,existing,,,,,,,,error,,,,,,False
0576571c-aa6c-4d55-9f83-39ad11d50442,Axum Stelae Artisans Market,existing,,,,,,,,error,,,,,,False
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,existing,,,,,,,,error,,,,,,False
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,existing,,,,,,,,error,,,,,,False
06546a02-bb0a-491b-8fa5-4c3ecb590753,Marriott Executive Apartments Sauna & Wellness,existing,,,,,,,,error,,,,,,False
065fbdd8-f6fe-4fd6-ade7-38b70500f4f3,Jinka Saturday Tribal Market,existing,,,,,,,,error,,,,,,False
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,existing,,,,,,,,error,,,,,,False
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,existing,,,,,,,,error,,,,,,False
069a3989-4cef-4a1f-9d1b-4adee39e6660,Science Museum Complex,existing,,,,,,,,error,,,,,,False
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,existing,,,,,,,,error,,,,,,False
06f3b178-5219-4a8e-b9b5-be91e7219175,Mount Chilalo Stargazing Ridge,existing,,,,,,,,error,,,,,,False
06f6cccf-3b0c-4514-aac1-11d5c4531468,Wolayta Sodo Cultural Handicrafts Center,existing,,,,,,,,error,,,,,,False
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,existing,,,,,,,,error,,,,,,False
07384a8f-5e47-43e5-af76-0ed738a4f7f6,Kenenisa Hotel & High-Altitude Sports Complex,existing,,,,,,,,error,,,,,,False
073a802a-e42d-4440-89ba-36dffc6bc0f1,Sodere Resort Convention Center,existing,,,,,,,,error,,,,,,False
07732b82-a311-40cc-b641-f0118bb25bce,Raya Azebo Farming Communities,existing,,,,,,,,error,,,,,,False
079c543b-0632-403a-a752-7f7b63cd0037,Awi Agew Honey Wine Houses,existing,,,,,,,,error,,,,,,False
07e3c3e0-9588-41e5-a2b6-5865142da6e2,Debre Marqos Cathedral,existing,,,,,,,,error,,,,,,False
07e446b5-5b4a-4f84-bf73-d43ac8c07f2a,Yabello Desert Off-Road Trek,existing,,,,,,,,error,,,,,,False
08169283-0ecd-4fee-be90-3e80c16fb6f2,Senkele Swaynes Hartebeest Sanctuary,existing,,,,,,,,error,,,,,,False
081c2f68-7301-4e19-abf1-472b6b05f4b5,Woldiya Public Town Hillside,existing,,,,,,,,error,,,,,,False
084c39db-ea06-4008-9c00-26f7361f4330,Wolayta Sodo Highland Hamlets,existing,,,,,,,,error,,,,,,False
0873ce73-8dbd-4d59-a980-c8e5973b4de3,Hilton Addis Ababa Ballrooms & Grounds,existing,,,,,,,,error,,,,,,False
08e88666-1276-403b-972c-a82a3cedd23e,Dallol Sulfur Springs,existing,,,,,,,,error,,,,,,False
0904c198-522d-4eae-909c-1a03548e3123,Getu Commercial Center,existing,,,,,,,,error,,,,,,False
098a3ef4-e0f9-4680-a0a3-531cd2363b7c,Sor River Canopy (Rainforest Avifauna),existing,,,,,,,,error,,,,,,False
099a81af-e0f6-4c9a-acb4-46edb6f64952,Petros and Paulos Monastery,existing,,,,,,,,disabled,,,,,,False
09c323bd-9d34-4fda-ac2f-15bce647102c,"Lalibela Rock-Hewn Churches (Bete Giyorgis, etc.)",existing,,,,,,,,error,,,,,,False
09cf80ad-8f11-4213-860c-c391cac7c1e4,Guji Gold & Pastoralist Villages,existing,,,,,,,,error,,,,,,False
09e458fc-9121-48c5-ab82-0a2d127ef57a,Wolayta Sodo Urban Center,existing,,,,,,,,error,,,,,,False
0a100234-8028-4018-86a7-c3803711309e,Dire Dawa Date Palm Orchards,existing,,,,,,,,error,,,,,,False
0a20e07d-73dd-4284-ae5b-b631cc2cc559,Halala Kella Lodge Retreat & Spa,existing,,,,,,,,error,,,,,,False
0a2a2811-9f5b-4f9a-8074-5e180fd06d45,Dek Island Ferry Terminal,existing,,,,,,,,error,,,,,,False
0a56edc3-e173-4766-863d-d602923659eb,Abebe Bikila Stadium Accessible Seating Gate,existing,,,,,,,,error,,,,,,False
0a71af5a-b80e-43bd-91dd-060ce654e2b5,Woldiya Community Health Centers,existing,,,,,,,,error,,,,,,False
0a85ecd4-5c50-4860-b012-f6780d7ed2d3,Omo National Park (Big Game Safari),existing,,,,,,,,error,,,,,,False
0b2fc774-3a9b-4d36-8179-10da157097ac,Limalimo Lodge,existing,,,,,,,,error,,,,,,False
0b323a29-7996-4f3d-b524-51210f902bdd,Youth & Sports Academy Complex,existing,,,,,,,,error,,,,,,False
0b7eda7d-dfb8-456d-b691-d6ce2890ed58,Jan Meda Racecourse & Sports Ground,existing,,,,,,,,error,,,,,,False
0b82fd83-fb1a-48cb-b8f4-141efbd9cac2,Lake Ashenge Boating Shore,existing,,,,,,,,error,,,,,,False
0bb81add-f212-4fa1-a84c-03ac54cb7b4e,Gura Dhamole Desert Night Sky Encampment,existing,,,,,,,,error,,,,,,False
0beb83f4-243e-4161-8657-8f7ce8b4d268,Babile Elephant Sanctuary Bush Trekking,existing,,,,,,,,error,,,,,,False
0bfc7ee8-ddd1-4b35-baa9-543a2a227862,Loleha High-End Eco-Lodge,existing,,,,,,,,error,,,,,,False
0bfd7934-abde-4fff-bd12-4a56358498a0,Ethio-Kenyan Border High-Altitude Cross-Country Trails,existing,,,,,,,,error,,,,,,False
0c0a0214-76e4-480e-8291-7d97965501da,Tekeze Dam Lake Boating & Fishing Dock,existing,,,,,,,,error,,,,,,False
0c0f9ce0-6896-4e41-a1fa-d5e3c229b28a,Gerbi Natural Hot Springs,existing,,,,,,,,error,,,,,,False
0c1a1191-572e-4565-b33c-18646387bc44,Lake Hora Water Sports & Boating Pier,existing,,,,,,,,error,,,,,,False
0c86b942-94ae-49d7-aee3-20c43cc50fe5,Capital Hotel & Spa Wellness Facilities,existing,,,,,,,,error,,,,,,False
0cc86c22-d3a7-48d9-ac1a-1478f842b8ff,Dirre Sheikh Hussein Pilgrims Village,existing,,,,,,,,error,,,,,,False
0ce80aca-c141-4001-bc27-6c5a65e10179,Debre Damo Monastery,existing,,,,,,,,disabled,,,,,,False
0d1058d2-0ac5-4f62-904a-86b77a783a9f,Ethnological Museum,existing,,,,,,,,error,,,,,,False
0d291d6c-0210-408b-87a8-fbc919f72dc5,Dembi Waterfall & Forest Sanctuary,existing,,,,,,,,error,,,,,,False
0db2f2ba-292b-4bfd-a534-f3bbcf855467,Tekeze River Canyon Trekking,existing,,,,,,,,error,,,,,,False
0deb4635-ec6e-41d1-95cf-f0b0d2389259,Haile Resort Hawassa Convention Center,existing,,,,,,,,error,,,,,,False
0e063698-9ba5-4022-b19f-818523281e33,Marriott Executive Apartments Luxury Penthouses,existing,,,,,,,,error,,,,,,False
0e43bad9-7f39-4795-be9d-01fd987acf85,Awash National Park Arid Ecosystem Research Outpost,existing,,,,,,,,error,,,,,,False
0e4d4519-15ac-4164-95ff-67610eea618a,Bishoftu Pyramids Resort Meeting Facilities,existing,,,,,,,,error,,,,,,False
0e620435-6085-42a3-83a5-850fef257e71,Fincha Dam Lake Water Tours,existing,,,,,,,,error,,,,,,False
0e95b8df-daa1-4410-a730-189befba6f99,Arba Minch Crocodile Ranch Trail Running Loop,existing,,,,,,,,error,,,,,,False
0f2b4014-1411-4d39-9d1f-ab7c9840a894,Gojjam Teff Farming Cooperatives,existing,,,,,,,,error,,,,,,False
0f3ec61a-c1a4-4baf-bfdc-6913b4805a5c,Yeha Village Public Walkway,existing,,,,,,,,error,,,,,,False
0f49f40b-5d9b-48c8-900f-c01e75ff02c0,Addis Ababa City Center (Meskel Square & Imperial Zones),existing,,,,,,,,error,,,,,,False
0f779742-b201-49c7-858f-d1eadb6516b3,Lalibela Rock Churches,existing,,,,,,,,error,,,,,,False
0f7c84bd-4645-4e2b-b0c8-c603b9a940b1,Entoto Mountain Zipline & Rope Course,existing,,,,,,,,error,,,,,,False
0fa2359e-59e0-4cb3-867c-b289e8e9a009,Silte Mixed Agro-Farms,existing,,,,,,,,error,,,,,,False
0fb928af-dda8-4f10-8883-ac29911ded6d,Ankober Escarpment Rift Valley Wall Views,existing,,,,,,,,error,,,,,,False
0ff366be-2732-444c-bad4-160e65b47fb1,Lalibela Surrounding Highland Hamlets,existing,,,,,,,,error,,,,,,False
10428c4d-037c-4235-a04c-81eeedfcbb52,Jinka South Omo Health & Education Volunteer Base,existing,,,,,,,,error,,,,,,False
106667fc-ad59-4c8f-9c5f-52b2f5ae9284,Harar Jugol (Historic Walled City),existing,,,,,,,,disabled,,,,,,False
1083c39b-85cc-457d-9a68-518fe138f7be,Addis Ababa Italian Occupation Fortifications,existing,,,,,,,,error,,,,,,False
10995a8c-f549-4261-9251-3c7e872b92b8,Argobba Heritage Villages,existing,,,,,,,,error,,,,,,False
